排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,課程方向,通勤資訊,住宿資訊,生活資料來源,
51,061301,常春藤學校財團法人臺中市常春藤高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,潭子區,臺中市潭子區潭興路一段165巷320號,https://www.ivyjhs.tc.edu.tw,04-25395066#114,普通科:191(不限),,191,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,官網可見哈克尼斯國際實驗教育移地教學等活動；未見固定資優班招生，班別以當年度公告為準。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索，並銜接升學或就業。,校方官網提供校車路線圖；停靠站與時間依學期公告。,,https://www.ivyjhs.tc.edu.tw,
68,061306,臺中市明台高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,霧峰區,臺中市霧峰區萊園路91號,https://www.mths.tc.edu.tw,04-23393071#210、211,資料處理科:87(不限)；觀光事業科:83(不限)；餐飲管理科:82(不限)；幼兒保育科:43(不限)；美容科:42(不限)；室內設計科:86(不限),,423,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,以餐旅、設計、美容、幼保、資料處理等專業科別為特色；另有實用技能科別，無固定資優班公告。,依校方科別與課程計畫，重點包含商業管理、會計、數位應用與電商實務；餐旅、家政與照顧服務的情境實作及證照；視覺／空間／多媒體／表演創作與作品集、展演，並銜接升學或就業。,有學生校車；公車可搭50、59、107、200、243、281、291等至霧峰郵局(明台高中)，或搭291至明台高中站。,,https://www.mths.tc.edu.tw；https://www.mths.tc.edu.tw/GeneralServices；https://citybus-free.taichung.gov.tw/driving-map?route=291；https://citybus-free.taichung.gov.tw/,
61,061309,臺中市私立致用高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,大甲區,臺中市大甲區甲東路512號,https://www.cycivs.tc.edu.tw,04-26872354#311、312,普通科:40(不限)；機械科:65(不限)；汽車科:64(不限)；資訊科:80(不限)；資料處理科:40(不限)；餐飲管理科:39(不限)；美容科:63(不限)；照顧服務科(產特):25(不限),,416,4B1C3+,112,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,照顧服務科為產業特殊需求類科；另有國立大學／國立科大升學輔導班、建教合作班與實用技能學程。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索；工業與資電的專業實習、專題及技術士證照；商業管理、會計、數位應用與電商實務；餐旅、家政與照顧服務的情境實作及證照，並銜接升學或就業。,可搭661由大甲車站直達致用高中站；亦可先搭臺鐵至大甲站，再轉661。校方另有學生專車。,,https://www.cycivs.tc.edu.tw；https://www.cycivs.tc.edu.tw/ischool/publish_page/0/?cid=698；https://www.cycivs.tc.edu.tw/ischool/publish_page/0/?cid=1776；https://citybus-free.taichung.gov.tw/driving-map?route=661；https://citybus-free.taichung.gov.tw/,
53,061310,永誠學校財團法人臺中市大明高級中等學校,私立,中投區免試入學日間部,高中,不限,臺中市,大里區,臺中市潭子區潭興路一段168號,https://www.tmsh.tc.edu.tw,04-25391800#202,普通科:90(不限)；美工科:65(不限)；廣告設計科:65(不限)；多媒體動畫科:65(不限),,285,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,美工、廣告設計、多媒體動畫等藝術設計特色科，並辦理藝術類特色招生；普通科班別依年度公告。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索；視覺／空間／多媒體／表演創作與作品集、展演，並銜接升學或就業。,有學生校車；可搭20、123、920至翔仁社區(大明高中)，或20、123、202、203、920、921至潭子聯合辦公大樓後步行約2分鐘。,,https://www.tmsh.tc.edu.tw；https://www.tmsh.tc.edu.tw/about/14/；https://citybus-free.taichung.gov.tw/driving-map?route=123；https://citybus-free.taichung.gov.tw/,
58,061313,臺中市私立明道高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,烏日區,臺中市烏日區中山路一段497號,https://www.mingdao.edu.tw,04-23341115,普通科:111(不限)；資訊科:69(不限)；電子科:69(不限)；美工科:44(不限)；商業經營科:128(不限)；廣告設計科:86(不限)；觀光事業科:27(不限)；餐飲管理科:86(不限)；應用英語科:49(不限),,669,3A2B8+ 作 文 4,113,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,普通高中、技高與國際教育多軌；設數理實驗等學習方案，並有完整校內外課程、社團與升學支持。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索；工業與資電的專業實習、專題及技術士證照；商業管理、會計、數位應用與電商實務；餐旅、家政與照顧服務的情境實作及證照；視覺／空間／多媒體／表演創作與作品集、展演；應用外語溝通、檢定與職場語言，並銜接升學或就業。,校車涵蓋臺中市區、海線、山線、彰化、員林與南投；115學年度約74線，另有課後與晚自習班車。,,https://www.mingdao.edu.tw,
54,061314,臺中市私立僑泰高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,大里區,臺中市大里區樹王路342號,https://www.ctas.tc.edu.tw,04-24063936#117,普通科:302(不限)；機械科:71(不限)；汽車科:64(不限)；資訊科:32(不限)；電子科:75(不限)；商業經營科:75(不限)；廣告設計科:32(不限)；觀光事業科:32(不限)；餐飲管理科:98(不限)；多媒體設計科:70(不限)；應用英語科:32(不限)；應用日語科:32(不限)；幼兒保育科:31(不限)；美容科:72(不限)；室內設計科:60(不限),,1078,83-93 (28-88),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,高中部官網列醫科班、台清交成班、國立大學班、雙語國際班；技高另有多科專業與實用技能班。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索；工業與資電的專業實習、專題及技術士證照；商業管理、會計、數位應用與電商實務；餐旅、家政與照顧服務的情境實作及證照；視覺／空間／多媒體／表演創作與作品集、展演；應用外語溝通、檢定與職場語言，並銜接升學或就業。,有學生校車；可搭33至僑泰中學(美村南路)，或281至僑泰中學(高工路)，下車後步行至樹王路校區。,,https://www.ctas.tc.edu.tw；https://bak.ctas.tc.edu.tw/home?cid=3818；https://citybus-free.taichung.gov.tw/driving-map?goback=2&route=33；https://citybus-free.taichung.gov.tw/driving-map?route=281；https://citybus-free.taichung.gov.tw/,
24,061315,臺中市華盛頓高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,太平區,臺中市太平區廍仔坑路26號,https://www.whs.tc.edu.tw,04-23934712#113、116,普通科:237(不限),,237,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,寰宇雙語實驗班、國際雙聯課程、IBDP／AP等國際課程；班別與收費依當年度招生公告。,普通高中課程外，提供AP、IBDP、國際雙聯及STEAM、VEX機器人、Computer Science、Business等選修。,可搭15、85、163、246等公車至校區周邊；校方另有平日、週六與假日校車路線。,,https://www.whs.tc.edu.tw；https://www.whs.tc.edu.tw/henrollment/；https://www.whs.tc.edu.tw/portal/index.php/accommodation/generalaffairs/schoolbus,
41,061316,臺中市青年高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,大里區,臺中市大里區中湖路100號,https://www.youth.tc.edu.tw,04-24963333#212,綜合高中:134(不限)；汽車科:44(不限)；資訊科:45(不限)；餐飲管理科:44(不限)；美容科:88(不限)；音樂科:45(不限)；表演藝術科:131(不限)；多媒體動畫科:132(不限),,663,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,音樂科、表演藝術科、多媒體動畫科（含電競專長），綜高另有藥護、體育專長等學程。,綜高兼顧學術自然／社會探索；技職課程聚焦汽車、資訊、餐飲、美容、音樂、表演藝術與多媒體動畫實作。,有學生校車；公車可搭23、132、200至青年高中站，23可銜接大里與市區，200可由臺中車站方向到校。,,https://www.youth.tc.edu.tw；https://newstu.gm.youth.tc.edu.tw/applydpt；https://newstu.gm.youth.tc.edu.tw/freshman/schoolbus；https://citybus-free.taichung.gov.tw/driving-map?goback=2&route=23；https://citybus-free.taichung.gov.tw/,
56,061317,臺中市私立弘文高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,潭子區,臺中市潭子區弘文街100號,https://www.hwhs.tc.edu.tw,04-25340011#118,普通科:392(不限),,392,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,普通科以多元選修、自主學習、議題研究與ESL／國際課程資源為特色；未見固定資優班招生公告。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索，並銜接升學或就業。,校方設校車申請系統與交通資訊頁；路線、停靠站及費用依學期公告。,,https://www.hwhs.tc.edu.tw；https://www.hwhs.tc.edu.tw/home,
60,061318,臺中市私立立人高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,大里區,臺中市大里區中興路二段380號,https://www.lzsh.tc.edu.tw,04-24834138#511~514,普通科:660(不限),,660,87-91 (40-73),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,設菁英班，依新生測驗與校方編班規定辦理；實際名額與測驗方式依當年度公告。,依校方科別與課程計畫，重點包含普通／綜高的學科加深加廣、多元選修與生涯探索，並銜接升學或就業。,校方提供數字線平日專車及課後兩階段放學專車；路線、站點與費用依每學期公告。,,https://www.lzsh.tc.edu.tw；https://www.lzsh.tc.edu.tw/p/406-1000-5170%2Cr12.php?Lang=zh-tw；https://www.lzsh.tc.edu.tw/p/406-1000-4571%2Cr14.php?Lang=zh-tw,
69,061319,臺中市私立玉山高級中學,私立,中投區免試入學日間部,高中,不限,臺中市,東勢區,臺中市東勢區東崎路四段399號,https://www.yssh.tc.edu.tw,04-25771313#103,觀光事業科:42(不限)；餐飲管理科:42(不限)；照顧服務科(產特):42(不限),,126,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,照顧服務科為產業特殊需求類科；另以餐飲、觀光專業實作及證照輔導為特色。,依校方科別與課程計畫，重點包含餐旅、家政與照顧服務的情境實作及證照，並銜接升學或就業。,有學生校車；學校位於東勢青龍崗，先到東勢轉運站後可轉校車或接送至東崎路校區。校方學生規範亦列有住校方式。,可申請住校；官網學生規範列有住校通學方式。,https://www.yssh.tc.edu.tw；https://www.yssh.tc.edu.tw/introduce/html/index7.htm,
67,061321,慈明學校財團法人臺中市慈明高級中等學校,私立,中投區免試入學日間部,高中,不限,臺中市,太平區,臺中市太平區光德路388號,https://www.tmhs.tc.edu.tw,04-22713911#102,資訊科:43(不限)；餐飲管理科:41(不限)；電子商務科:43(不限)；照顧服務科(產特):43(不限),,170,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,照顧服務科為產特；另發展電子商務電競、資電AI、長照產學等特色課程。,資訊科發展AI應用；電子商務科融入直播與電競；餐飲與照服強調實務、證照、產學合作及第二外語。,有學生校車；可搭3、7、41、249、280、284、286、291至光隆、七星或慈明高中站，再步行到校。,有男女學生宿舍，可申請住宿。,https://www.tmhs.tc.edu.tw；https://www.gapp.tmhs.tc.edu.tw/%E8%AA%8D%E8%AD%98%E6%85%88%E6%98%8E/%E8%91%A3%E4%BA%8B%E9%95%B7-%E5%B8%B8%E9%9C%B2%E4%B8%8A%E4%BA%BA；https://www.gapp.tmhs.tc.edu.tw/%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99/%E6%A0%A1%E8%BB%8A%E5%85%AC%E8%BB%8A%E8%B7%AF%E7%B7%9A%E8%B3%87%E8%A8%8A；https://citybus-free.taichung.gov.tw/driving-map?route=291；https://citybus-free.taichung.gov.tw/,
94,061B11,嘉陽學校財團法人臺中市嘉陽高級中學進修部,私立,中投區免試入學進修部,高中,不限,臺中市,清水區,臺中市清水區中航路三段1號,https://www.cysh.tc.edu.tw,04-26152166# 2221,餐飲管理科(夜間班):120(不限),,120,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修部依當年度核定科別開班；本次查閱官網未見另設固定資優班，實際班別以進修部公告為準。,依校方科別與課程計畫，重點包含餐旅、家政與照顧服務的情境實作及證照，並銜接升學或就業。,可搭162由沙鹿車站直達嘉陽高中；182、185也停嘉陽高中，並可銜接豐原、神岡、臺中國際機場與清水。 進修部晚間返程可使用上述公共運輸；請依實際下課時間核對末班車，日校學生專車不一定等同夜間班車。,,https://www.cysh.tc.edu.tw；https://citybus-free.taichung.gov.tw/driving-map?route=162；https://citybus-free.taichung.gov.tw/driving-map?route=182；https://citybus-free.taichung.gov.tw/,
93,061B14,臺中市私立僑泰高級中學進修部,私立,中投區免試入學進修部,高中,不限,臺中市,大里區,臺中市大里區樹王路342號,https://www.ctas.tc.edu.tw,04-24063936#152,汽車科(夜間班):40(不限)；觀光事業科(夜間班):40(不限)；餐飲管理科(夜間班):80(不限)；美容科(夜間班):80(不限)；流行服飾科(夜間班):40(不限),,280,83-93 (28-88),110,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修部依當年度核定科別開班；本次查閱官網未見另設固定資優班，實際班別以進修部公告為準。,依校方科別與課程計畫，重點包含工業與資電的專業實習、專題及技術士證照；餐旅、家政與照顧服務的情境實作及證照；視覺／空間／多媒體／表演創作與作品集、展演，並銜接升學或就業。,有學生校車；可搭33至僑泰中學(美村南路)，或281至僑泰中學(高工路)，下車後步行至樹王路校區。 進修部晚間返程可使用上述公共運輸；請依實際下課時間核對末班車，日校學生專車不一定等同夜間班車。,,https://www.ctas.tc.edu.tw；https://citybus-free.taichung.gov.tw/driving-map?goback=2&route=33；https://citybus-free.taichung.gov.tw/driving-map?route=281；https://citybus-free.taichung.gov.tw/,
90,061B16,臺中市私立青年高級中學進修部,私立,中投區免試入學進修部,高中,不限,臺中市,大里區,臺中市大里區中湖路100號,https://www.youth.tc.edu.tw,04-24963333#212,餐飲管理科(日間班):40(不限)；餐飲管理科(夜間班):40(不限)；美容科(日間班):40(不限)；照顧服務科(產特)(夜間班):40(不限),,160,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修部設照顧服務科(夜間班)產業特殊需求類科；其餘依核定夜間／日間班辦理，未另設資優班。,依校方科別與課程計畫，重點包含餐旅、家政與照顧服務的情境實作及證照，並銜接升學或就業。,有學生校車；公車可搭23、132、200至青年高中站，23可銜接大里與市區，200可由臺中車站方向到校。 進修部晚間返程可使用上述公共運輸；請依實際下課時間核對末班車，日校學生專車不一定等同夜間班車。,,https://www.youth.tc.edu.tw；https://newstu.gm.youth.tc.edu.tw/freshman/schoolbus；https://citybus-free.taichung.gov.tw/driving-map?goback=2&route=23；https://citybus-free.taichung.gov.tw/,
96,061B19,臺中市私立玉山高級中學進修部,私立,中投區免試入學進修部,高中,不限,臺中市,東勢區,臺中市東勢區東崎路四段399號,https://www.yssh.tc.edu.tw,04-25771313#103,資料處理科(夜間班):10(不限)；餐飲管理科(夜間班):20(不限)；美容科(夜間班):10(不限)；照顧服務科(產特)(夜間班):20(不限),,60,,,115學年度中投區高級中等學校免試入學委員會「招生名額查詢」；一般生實際招生名額；擷取時間：2026/8/10 16:44:26,進修部設照顧服務科(夜間班)產業特殊需求類科；其餘依核定夜間／日間班辦理，未另設資優班。,依校方科別與課程計畫，重點包含商業管理、會計、數位應用與電商實務；餐旅、家政與照顧服務的情境實作及證照，並銜接升學或就業。,有學生校車；學校位於東勢青龍崗，先到東勢轉運站後可轉校車或接送至東崎路校區。校方學生規範亦列有住校方式。 進修部晚間返程可使用上述公共運輸；請依實際下課時間核對末班車，日校學生專車不一定等同夜間班車。,可申請住校；官網學生規範列有住校通學方式。,https://www.yssh.tc.edu.tw；https://www.yssh.tc.edu.tw/introduce/html/index7.htm,
