排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優/特色班,排序分數
16,14311,市立三重高中,公立,基北區,高中,男女兼收,新北市,三重區,新北市三重區集美街212號,https://www3.schs.ntpc.edu.tw/,(02)29760501,普通科:308,308,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
17,13336,市立中和高中,公立,基北區,高中,男女兼收,新北市,中和區,新北市中和區連城路460號,http://www.chshs.ntpc.edu.tw,(02)22227146,普通科:465,465,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
18,14353,市立丹鳳高中,公立,基北區,高中,男女兼收,新北市,新莊區,新北市新莊區龍安路72號,http://www.dfsh.ntpc.edu.tw/,(02)29089627,普通科:223,223,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
19,14363,市立光復高中,公立,基北區,高中,男女兼收,新北市,板橋區,新北市板橋區光環路一段7號,http://www.gfhs.ntpc.edu.tw/,(02)29582366,綜合高中:150,150,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
20,14381,市立北大高級中學,公立,基北區,高中,男女兼收,新北市,三峽區,新北市三峽區大義路277號,http://www.bdsh.ntpc.edu.tw,(02)26742666,普通科:132,132,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
21,14343,市立安康高中,公立,基北區,高中,男女兼收,新北市,新店區,新北市新店區安興路25號,http://www.akhs.ntpc.edu.tw,(02)22111743,普通科:212,212,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
22,13338,市立新北高中,公立,基北區,高中,男女兼收,新北市,三重區,新北市三重區三信路1號,http://www.ntsh.ntpc.edu.tw/,(02)28577326,普通科:428,428,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
23,13433,市立新北高工,公立,基北區,高中,男女兼收,新北市,土城區,新北市土城區學府路一段241號,https://www.ntvs.ntpc.edu.tw/,(02)22612483,商業經營科:12；機械科:52；汽車科:20；資訊科:32,116,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
24,13335,市立新店高中,公立,基北區,高中,男女兼收,新北市,新店區,新北市新店區中央路93號,http://www.htsh.ntpc.edu.tw,(02)22193700,普通科:460,460,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
25,13337,市立新莊高中,公立,基北區,高中,男女兼收,新北市,新莊區,新北市新莊區中平路135號,http://www.hcsh.ntpc.edu.tw,(02)29912391,普通科:506,506,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
26,14326,市立明德高中,公立,基北區,高中,男女兼收,新北市,三峽區,新北市三峽區中正路二段399號,http://www.mdhs.ntpc.edu.tw,(02)26723302,普通科:221,221,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
27,13304,市立板橋高中,公立,基北區,高中,男女兼收,新北市,板橋區,新北市板橋區文化路一段25號,http://www.pcsh.ntpc.edu.tw,(02)29602500,電機科:45,45,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
28,13339,市立林口高中,公立,基北區,高中,男女兼收,新北市,林口區,新北市林口區仁愛路二段173號,http://www.lksh.ntpc.edu.tw,(02)26009482,普通科:352,352,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
29,14468,市立樟樹國際實中,公立,基北區,高中,男女兼收,新北市,汐止區,新北市汐止區樟樹二路135號,http://www.ctjhs.ntpc.edu.tw/,(02)26430686,廣告設計科:60；多媒體設計科:20；資訊科:34；多媒體動畫科:27,141,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
30,14322,市立樹林高中,公立,基北區,高中,男女兼收,新北市,樹林區,新北市樹林區中華路8號,http://www.slsh.ntpc.edu.tw,(02)86852011,普通科:303,303,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
31,14315,市立永平高中,公立,基北區,高中,男女兼收,新北市,永和區,新北市永和區永平路205號,https://www.yphs.ntpc.edu.tw/,(02)22319670,普通科:254,254,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
32,13303,市立泰山高中,公立,基北區,高中,男女兼收,新北市,泰山區,新北市泰山區辭修路7號,http://www.tssh.ntpc.edu.tw,(02)22963625,汽車科:60；電子科:29,89,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
33,14302,市立海山高中,公立,基北區,高中,男女兼收,新北市,板橋區,新北市板橋區漢生東路215號,http://www.hshs.ntpc.edu.tw,(02)29517475,普通科:256,256,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
34,13434,市立淡水商工,公立,基北區,高中,男女兼收,新北市,淡水區,新北市淡水區商工路307號,http://www.tsvs.ntpc.edu.tw,(02)26203930,資料處理科:32；餐飲管理科:32,64,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
35,14356,市立清水高中,公立,基北區,高中,男女兼收,新北市,土城區,新北市土城區明德路一段72號,http://www.cssh.ntpc.edu.tw,(02)22707801,普通科:309,309,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
36,13402,市立瑞芳高工,公立,基北區,高中,男女兼收,新北市,瑞芳區,新北市瑞芳區瑞芳街60號,https://web.jfvs.ntpc.edu.tw/,(02)24972516,機械科:32；資訊科:32；電機科:32,96,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
37,14348,市立石碇高中,公立,基北區,高中,男女兼收,新北市,石碇區,新北市石碇區隆盛里八分寮45號,http://www.sdhs.ntpc.edu.tw,(02)26631224,綜合高中:102,102,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
38,14332,市立秀峰高中,公立,基北區,高中,男女兼收,新北市,汐止區,新北市汐止區忠孝東路201號,https://www.sfhs.ntpc.edu.tw/,(02)26412134,普通科:222,222,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
39,14364,市立竹圍高中,公立,基北區,高中,男女兼收,新北市,淡水區,新北市淡水區竹林路35號,https://www.zwhs.ntpc.edu.tw/,(02)28096990,普通科:143,143,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
40,14338,市立金山高中,公立,基北區,高中,男女兼收,新北市,金山區,新北市金山區美田里文化二路2號,http://www.cshs.ntpc.edu.tw,(02)24982028,綜合高中:28,28,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
41,14362,市立錦和高中,公立,基北區,高中,男女兼收,新北市,中和區,新北市中和區錦和路163號,http://www.jhsh.ntpc.edu.tw,(02)22498566,普通科:247,247,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
42,14347,市立雙溪高中,公立,基北區,高中,男女兼收,新北市,雙溪區,新北市雙溪區梅竹蹊3號,http://www.sxhs.ntpc.edu.tw,(02)24931028,綜合高中:58,58,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
43,14439,市立鶯歌工商,公立,基北區,高中,男女兼收,新北市,鶯歌區,新北市鶯歌區中正三路154號,http://www.ykvs.ntpc.edu.tw,(02)26775040,資料處理科:40；餐飲管理科:34；資訊科:68；資料處理科:64；應用日語科:22,228,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
44,11309,新北市南山中學,私立,基北區,高中,男女兼收,新北市,中和區,新北市中和區廣福路41號,https://www.nssh.ntpc.edu.tw/,(02)22453000,普通科:193,193,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
45,11322,新北市崇光高中,私立,基北區,高中,男女兼收,新北市,新店區,新北市新店區三民路18號,https://web.ckgsh.ntpc.edu.tw/nss/p/index,(02)29112543,普通科:62,62,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
46,11330,新北市林口康橋國際高中,私立,基北區,高中,男女兼收,新北市,林口區,新北市林口區興林路55號,https://web.kcislk.ntpc.edu.tw/,(02)26015888,普通科:35,35,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
47,11307,新北市裕德高級中等學校,私立,基北區,高中,男女兼收,新北市,土城區,新北市土城區擺接堡路1號,http://www.yuteh.ntpc.edu.tw/,(02)82617889,普通科:15,15,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
48,11432,私立中華商海,私立,基北區,高中,男女兼收,新北市,萬里區,新北市萬里區瑪鋉路15號,http://www.chmvs.ntpc.edu.tw,(02)24922119,表演藝術科:97；多媒體動畫科:7；餐飲管理科:18；輪機科:36,158,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
49,11323,私立光仁高中,私立,基北區,高中,男女兼收,新北市,板橋區,新北市板橋區中山路二段255巷18號,http://www.kjsh.ntpc.edu.tw,(02)29615161,普通科:108,108,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
50,011C71,私立光華高商進修學校,私立,基北區,高中,男女兼收,新北市,板橋區,新北市板橋區南雅南路二段1號,http://www.khvs.ntpc.edu.tw,(02)89522255,資料處理科:54；應用日語科:27；觀光事業科:27；資料處理科:45,153,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
51,11312,私立崇義高中,私立,基北區,高中,男女兼收,新北市,汐止區,新北市汐止區大同路三段68號,https://www.tyhs.ntpc.edu.tw/,(02)86478000,應用英語科:10,10,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
52,11302,私立康橋高中,私立,基北區,高中,男女兼收,新北市,新店區,新北市新店區華城路800號,https://www.kcis.ntpc.edu.tw/_XiugangCampus/,(02)22166000,普通科:48,48,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
53,11318,私立徐匯高中,私立,基北區,高中,男女兼收,新北市,蘆洲區,新北市蘆洲區中山一路1號,http://www.sish.ntpc.edu.tw,(02)22817565,時尚造型科:20；觀光事業科:20；普通科:64,104,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
54,11407,私立復興商工,私立,基北區,高中,男女兼收,新北市,永和區,新北市永和區秀朗路一段201號,http://www.fhvs.ntpc.edu.tw,(02)29262121,廣告設計科:45；室內設計科:90,135,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
55,11399,私立時雨高中,私立,基北區,高中,男女兼收,新北市,瑞芳區,新北市瑞芳區銅山里祈堂路217號,http://www.syjh.ntpc.edu.tw,(02)24962217,普通科:84,84,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
56,11420,私立智光商工,私立,基北區,高中,男女兼收,新北市,永和區,新北市永和區中正路100號,https://www.ckvs.ntpc.edu.tw/home,(02)29432491,資訊科:30；餐飲管理科:30,60,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
57,11315,私立東海高中,私立,基北區,高中,男女兼收,新北市,三重區,新北市三重區忠孝路三段93巷12號,https://www.thhs.ntpc.edu.tw/,(02)29822788,汽車科:40；資訊科:13；電子科:27；餐飲管理科:27,107,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
58,11316,私立格致高中,私立,基北區,高中,男女兼收,新北市,三重區,新北市三重區大智街260號,http://www.gjsh.ntpc.edu.tw,(02)29855892,多媒體動畫科:13；普通科:183,196,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
59,11405,私立樹人家商,私立,基北區,高中,男女兼收,新北市,樹林區,新北市樹林區大安路216號,http://www.stgvs.ntpc.edu.tw,(02)26870391,餐飲管理科:44,44,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
60,11301,私立淡江高中,私立,基北區,高中,男女兼收,新北市,淡水區,新北市淡水區真理街26號,http://www.tksh.ntpc.edu.tw,(02)26203850,綜合高中:281,281,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
61,11413,私立穀保家商,私立,基北區,高中,男女兼收,新北市,三重區,新北市三重區中正北路560巷38號,http://www.kpvs.ntpc.edu.tw,(02)29712343,資料處理科:27；多媒體設計科:27；時尚造型科:27,81,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
62,11324,私立竹林高中,私立,基北區,高中,男女兼收,新北市,中和區,新北市中和區華新街143巷12號,http://www.clsh.ntpc.edu.tw,(02)29422128,普通科:128,128,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
63,11311,私立聖心女中,私立,基北區,高中,男女兼收,新北市,八里區,新北市八里區龍米路一段263號,http://www.shgsh.ntpc.edu.tw,(02)26182287,普通科:40,40,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
64,11426,私立能仁家商,私立,基北區,高中,男女兼收,新北市,新店區,新北市新店區文中路53巷10號,http://www.nrvs.ntpc.edu.tw,(02)29182399,美容科:180；觀光事業科:45,225,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
65,11431,私立莊敬工家,私立,基北區,高中,男女兼收,新北市,新店區,新北市新店區民生路45號,http://www.jjvs.ntpc.edu.tw,(02)22188956,美容科:30；餐飲管理科:15,45,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
66,11427,私立豫章工商,私立,基北區,高中,男女兼收,新北市,板橋區,新北市板橋區四川路一段391號,http://www.ycvs.ntpc.edu.tw,(02)29519810,餐飲管理科:18；表演藝術科:27；資訊科:27；電機科:54；多媒體設計科:27,153,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
67,11317,私立醒吾高中,私立,基北區,高中,男女兼收,新北市,林口區,新北市林口區粉寮路一段75巷80號,http://www.swsh.ntpc.edu.tw,(02)26012644,普通科:86；商業經營科:20；資料處理科:20；幼兒保育科:20,146,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
68,11306,私立金陵女中,私立,基北區,高中,男女兼收,新北市,三重區,新北市三重區重新路五段656號,http://www.glghs.ntpc.edu.tw,(02)29956776,普通科:86,86,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
69,11310,財團法人恆毅高中,私立,基北區,高中,男女兼收,新北市,新莊區,新北市新莊區中正路108號,http://www.hchs.ntpc.edu.tw,(02)29923619,普通科:120,120,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
70,11329,財團法人辭修高中,私立,基北區,高中,男女兼收,新北市,三峽區,新北市三峽區溪東路251號,http://www.tsshs.ntpc.edu.tw,(02)86761277,普通科:174,174,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
71,34306,市立南崁高中,公立,基北區共同就學區,高中,男女兼收,桃園市,蘆竹區,桃園市蘆竹區仁愛路二段1號,https://www.nksh.tyc.edu.tw/ischool/publish_page/0/,(03)3525580,幼兒保育科:1；觀光事業科:2；餐飲管理科:1；表演藝術科:1；普通科:1,6,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
72,34314,市立壽山高中,公立,基北區共同就學區,高中,男女兼收,桃園市,龜山區,桃園市龜山區大同路23號,http://www.sssh.tyc.edu.tw,(03)3501778,普通科:20；國際貿易科:5,25,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
73,34347,市立永豐高中,公立,基北區共同就學區,高中,男女兼收,桃園市,八德區,桃園市八德區永豐路609號,http://www.yfms.tyc.edu.tw,(03)3692679,應用英語科:5；廣告設計科:3；普通科:1,9,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
