排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,排序分數
18,034347,市立永豐高中,公立,桃連區日間部,高中,男女兼收,桃園市,八德區,桃園市八德區永豐路609號,http://www.yfms.tyc.edu.tw,(03)3692679,普通科:339,339,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
19,034348,市立羅浮高中,公立,桃連區日間部,高中,男女兼收,桃園市,復興區,桃園市復興區羅浮里3鄰18號,https://www.lfsh.tyc.edu.tw/home,(03)3825585,觀光事業科:10；餐飲管理科:19,29,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
20,034399,市立大園國際高中,公立,桃連區日間部,高中,男女兼收,桃園市,大園區,桃園市大園區大成路二段8號,http://www.dysh.tyc.edu.tw,(03)3813001,普通科:420,420,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
21,031301,桃園市路亞國際高中,私立,桃連區日間部,高中,男女兼收,桃園市,龍潭區,桃園市龍潭區中正路佳安段448號,https://www.lysh.tyc.edu.tw,(03)4711388,普通科:30,30,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
22,031309,桃園市育達高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,平鎮,桃園市平鎮區育達路160號,https://www.yuda.tyc.edu.tw/main,(03)4934101,普通科:270；資訊科:65；商業經營科:90；會計事務科:45；資料處理科:100；應用英語科:70；應用日語科:90；廣告設計科:80；多媒體設計科:90；幼兒保育科:85；時尚造型科:75；觀光事業科:90；餐飲管理科:80；進修部：資訊科:36；資料處理科:180；時尚造型科:72；餐飲管理科:72,1230,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
23,031310,私立六和高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,平鎮,桃園市平鎮區陸光路180號,https://www.lioho.tw/ischool/publish_page/0/,(03)4204000,普通科:55；機電科:41；資訊科:20；應用英語科:20；多媒體設計科:20,156,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
24,031311,桃園市復旦高中,私立,桃連區日間部,高中,男女兼收,桃園市,平鎮,桃園市平鎮區復旦路二段122號,https://www.fdhs.tyc.edu.tw/school.htm,(03)4932476,普通科:240,240,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
25,031312,桃園市治平高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,楊梅區,桃園市楊梅區中興路137號,http://www.cpshs.tyc.edu.tw/home,(03)4823636,普通科:185；綜合高中:25；資訊科:8；電子科:40；電機科:60；資料處理科:10；電子商務科:35；應用英語科:7；應用日語科:48；時尚造型科:83,501,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
26,031313,桃園市振聲高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,桃園區,桃園市桃園區復興路439號,https://www.fxsh.tyc.edu.tw/home,(03)3322605,普通科:215；資訊科:60；商業經營科:35；國際貿易科:35；電子商務科:60；應用英語科:55；廣告設計科:50；多媒體設計科:50；觀光事業科:50；進修部：資訊科:20；應用英語科:20；觀光事業科:20,610,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
27,031317,私立光啟高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,龜山區,桃園市龜山區自由街40號,http://www.phsh.tyc.edu.tw,(02)82098313,普通科:27；機械科:16；汽車科:16；電機科:16；照顧服務科:16；餐飲管理科:16,107,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
28,031318,桃園市啟英高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,中壢區,桃園市中壢區中園路447號,http://web.cyvs.tyc.edu.tw/html/,(03)4523036,普通科:135；汽車科:90；資訊科:70；電子商務科:55；應用英語科:25；應用日語科:25；廣告設計科:65；室內設計科:90；時尚造型科:45；餐飲管理科:155；音樂科:45；電影電視科:45；表演藝術科:45,890,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
29,031319,桃園市清華高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,新屋區,桃園市新屋區中華路658號,http://www.chvs.tyc.edu.tw,(03)4771196,汽車科:18；軌道車輛科:13；幼兒保育科:42；餐飲管理科:18；進修部：餐飲管理科:45,91,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
30,031320,桃園市新興高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,八德區,桃園市八德區永豐路563號,http://www.hshs.tyc.edu.tw,(03)3796996,普通科:428；機械科:54；汽車科:55；飛機修護科:54；資訊科:54；電子科:55；商業經營科:45；國際貿易科:35；資料處理科:54；電子商務科:30；應用英語科:32；應用日語科:24；多媒體設計科:55；觀光事業科:55,1030,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
31,031323,私立至善高中,私立,桃連區日間部,高中,男女兼收,桃園市,大溪區,桃園市大溪區康莊路645號,http://www.tzsavs.tyc.edu.tw,(03)3887528,普通科:36；家具木工科:55；觀光事業科:19,110,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
32,031324,桃園市大興高中,私立,桃連區日間部,技術型高中,男女兼收,桃園市,大園區,桃園市大園區永興路142號,https://www.dxhs.tyc.edu.tw/home,(03)3862330,普通科:45；飛機修護科:30；電機科:20；時尚造型科:30；餐飲管理科:30,155,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
33,031326,私立大華高中,私立,桃連區日間部,高中,男女兼收,桃園市,楊梅區,桃園市楊梅區三民路二段200號,http://www.thsh.tyc.edu.tw,(03)4820506,普通科:70,70,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
34,031414,桃園市世紀綠能工商,私立,桃連區日間部,技術型高中,男女兼收,桃園市,龜山區,桃園市龜山區明德路162巷100號,https://web.cgehs.tyc.edu.tw/,(03)3294187,機械科:13；汽車科:13；資訊科:27；幼兒保育科:13；餐飲管理科:9,75,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
35,031415,私立方曙商工,私立,桃連區日間部,技術型高中,男女兼收,桃園市,龍潭區,桃園市龍潭區中原路一段50號,https://www.fsvs.tyc.edu.tw/home,(03)4796345,飛機修護科:20；資訊科:35；照顧服務科:35,90,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
36,031421,私立永平工商,私立,桃連區日間部,技術型高中,男女兼收,桃園市,楊梅區,桃園市楊梅區永平路480號,https://www.ypvs.tyc.edu.tw/,(03)4822464,汽車科:132；資料處理科:30；廣告設計科:44；幼兒保育科:30；觀光事業科:42；餐飲管理科:125；表演藝術科:87,490,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
37,013303,市立泰山高中,公立,桃連區共同就學區（基北區）,高中,男女兼收,新北市,泰山區,新北市泰山區辭修路7號,http://www.tssh.ntpc.edu.tw,(02)22963625,普通科:10；電子科:10；進修部：汽車科:1,20,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
38,013337,市立新莊高中,公立,桃連區共同就學區（基北區）,高中,男女兼收,新北市,新莊區,新北市新莊區中平路135號,http://www.hcsh.ntpc.edu.tw,(02)29912391,普通科:10,10,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
39,013339,市立林口高中,公立,桃連區共同就學區（基北區）,高中,男女兼收,新北市,林口區,新北市林口區仁愛路二段173號,http://www.lksh.ntpc.edu.tw,(02)26009482,普通科:30,30,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
40,014322,市立樹林高中,公立,桃連區共同就學區（基北區）,高中,男女兼收,新北市,樹林區,新北市樹林區中華路8號,http://www.slsh.ntpc.edu.tw,(02)86852011,普通科:30,30,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
41,014353,市立丹鳳高中,公立,桃連區共同就學區（基北區）,高中,男女兼收,新北市,新莊區,新北市新莊區龍安路72號,http://www.dfsh.ntpc.edu.tw/,(02)29089627,普通科:4,4,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
42,014439,市立鶯歌工商,公立,桃連區共同就學區（基北區）,技術型高中,男女兼收,新北市,鶯歌區,新北市鶯歌區中正三路154號,http://www.ykvs.ntpc.edu.tw,(02)26775040,資訊科:2；資料處理科:2；應用日語科:1；美術工藝科:2；陶瓷工程科:2；廣告設計科:2；多媒體設計科:1,12,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
43,011310,財團法人恆毅高中,私立,桃連區共同就學區（基北區）,技術型高中,男女兼收,新北市,新莊區,新北市新莊區中正路108號,http://www.hchs.ntpc.edu.tw,(02)29923619,普通科:5,5,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
44,011317,私立醒吾高中,私立,桃連區共同就學區（基北區）,技術型高中,男女兼收,新北市,林口區,新北市林口區粉寮路一段75巷80號,http://www.swsh.ntpc.edu.tw,(02)26012644,普通科:5；商業經營科:5；資料處理科:5；幼兒保育科:5；照顧服務科:5；時尚造型科:5；觀光事業科:5,35,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
45,011330,新北市林口康橋國際高中,私立,桃連區共同就學區（基北區）,高中,男女兼收,新北市,林口區,新北市林口區興林路55號,https://web.kcislk.ntpc.edu.tw/,(02)26015888,普通科:1,1,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
46,011405,私立樹人家商,私立,桃連區共同就學區（基北區）,技術型高中,男女兼收,新北市,樹林區,新北市樹林區大安路216號,http://www.stgvs.ntpc.edu.tw,(02)26870391,資訊科:1；商業經營科:1；資料處理科:1；烘焙科:1；幼兒保育科:1；美容科:1；餐飲管理科:1；影劇科:1；表演藝術科:1；進修部：餐飲管理科:1,9,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
47,040304,國立關西高中,公立,桃連區共同就學區（竹苗區）,技術型高中,男女兼收,新竹縣,關西鎮,新竹縣關西鎮東安里中山東路2號,https://www.khsh.hcc.edu.tw/,(03)5872049,畜產保健科:1；餐飲管理科:1,2,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
48,044320,縣立湖口高中,公立,桃連區共同就學區（竹苗區）,技術型高中,男女兼收,新竹縣,湖口鄉,新竹縣湖口鄉達生路601號,https://hkhs.hcc.edu.tw,(03)5992588,普通科:1；商業經營科:1,2,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
49,041307,私立仰德高中,私立,桃連區共同就學區（竹苗區）,技術型高中,男女兼收,新竹縣,新豐鄉,新竹縣新豐鄉員山133號,http://www.ydvs.hcc.edu.tw/,(03)5592158,電子商務科:4；時尚造型科:4；餐飲管理科:6；進修部：資料處理科:1；餐飲管理科:2,14,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
50,041401,私立內思高工,私立,桃連區共同就學區（竹苗區）,技術型高中,男女兼收,新竹縣,新埔鎮,新竹縣新埔鎮楊新路一段40號,http://www.savs.hcc.edu.tw,(03)5882520,綜合高中:6；機械科:2；資訊科:2；電子科:2；電機科:2；多媒體設計科:2,16,,,,115學年度桃連區免試入學簡章；實際招生名額以115年6月18日委員會公告為準。,,
