排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,資優班/特色班,住宿資訊,課程方向,實習／專題,校車／專車資訊,通勤資訊,住宿資訊,Google地圖,課程資料來源,實習專題資料來源,校車／專車資料來源,通勤資料來源,住宿資料來源,地址資料來源,生活資料來源,資料更新日期
,121307,財團法人普門中學,私立,高雄區學校名錄,綜高,男女校,高雄市,大樹區,高雄市大樹區大坑路140之11號,https://www.pmsh.khc.edu.tw/,(07)6562676,普通科(日)；餐飲管理科(日),,,請以各校當年度公告為準,學校設有學生宿舍。115學年度仍配置學生宿舍生活輔導人員，住宿生由校方安排生活管理。,財團法人普門中學兼具普通高中學術課程與餐飲管理科等專業方向，課程包含語文數理、探究學習、多元選修及技術專業課程，提供學術與職涯兩種延伸路徑。,財團法人普門中學的餐飲管理科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,有交通車。115學年度第一學期交通車設有左營、右昌、新莊、鳳山、五甲、岡山、台南、屏東等多條返校路線。,可由高雄市區或左營轉乘前往大樹區的公車，在大坑路周邊站點下車後步行到財團法人普門中學。,學校設有學生宿舍。115學年度仍配置學生宿舍生活輔導人員，住宿生由校方安排生活管理。,https://www.google.com/maps/search/?api=1&query=%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E6%99%AE%E9%96%80%E4%B8%AD%E5%AD%B8%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E6%A8%B9%E5%8D%80%E5%A4%A7%E5%9D%91%E8%B7%AF140%E4%B9%8B11%E8%99%9F,https://www.pmsh.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.pmsh.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.pmsh.khc.edu.tw/news/115%E5%AD%B8%E5%B9%B4%E5%BA%A6%E7%AC%AC%E4%B8%80%E5%AD%B8%E6%9C%9F%E4%BA%A4%E9%80%9A%E8%BB%8A%E8%B7%AF%E7%B7%9A%E7%AB%99%E9%BB%9E%E8%A1%A8/,https://www.google.com/maps/search/?api=1&query=%E8%B2%A1%E5%9C%98%E6%B3%95%E4%BA%BA%E6%99%AE%E9%96%80%E4%B8%AD%E5%AD%B8%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E6%A8%B9%E5%8D%80%E5%A4%A7%E5%9D%91%E8%B7%AF140%E4%B9%8B11%E8%99%9F | https://www.pmsh.khc.edu.tw/,https://www.pmsh.khc.edu.tw/,https://www.pmsh.khc.edu.tw/,https://www.pmsh.khc.edu.tw/,2026-09-07
,121318,私立正義高中,私立,高雄區學校名錄,高中,男女校,高雄市,鳳山區,高雄市鳳山區南江街183號,https://web.cysh.khc.edu.tw/zh,(07)7225529,普通科(日),,,請以各校當年度公告為準,私立正義高中的一般高中職學生住宿目前沒有固定公開申請資訊。,私立正義高中以部定必修、校訂課程、多元選修與彈性學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容。,私立正義高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,有校車。校方交通頁列有大寮鳳山、高鳳、大社、林園及高雄市區等路線。,可搭乘11、25、26、81、82、83、100等市區公車至瑞豐站一帶，再步行到校；亦可由捷運三多商圈站轉乘公車。,私立正義高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E6%AD%A3%E7%BE%A9%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E5%8D%97%E6%B1%9F%E8%A1%97183%E8%99%9F,https://web.cysh.khc.edu.tw/zh | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://web.cysh.khc.edu.tw/zh | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://web.cysh.khc.edu.tw/zh/page/1b01b0a8-d4fd-0b77-b675-3a0f53eb7e77,https://web.cysh.khc.edu.tw/zh/page/1b01b0a8-d4fd-0b77-b675-3a0f53eb7e77,https://web.cysh.khc.edu.tw/zh,https://web.cysh.khc.edu.tw/zh,https://web.cysh.khc.edu.tw/zh,2026-09-07
,121320,私立義大國際高中,私立,高雄區學校名錄,高中,男女校,高雄市,大樹區,高雄市大樹區學城路一段6號,https://www.iis.kh.edu.tw/,(07)6577115,普通科(日),,,請以各校當年度公告為準,學校設有住宿制度，六至十二年級學生可申請住宿；宿舍生活由學校住宿團隊管理。,私立義大國際高中高中階段同時銜接國家課程與國際課程路徑，國際課程包含 IGCSE 與 IB Diploma，高中學習重視語言、跨領域探究與國際素養。,私立義大國際高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,有交通車。學生可申請往返高雄、屏東、台南指定停靠點的校車服務，適用一至十二年級學生。,可由高雄市區或左營轉乘前往大樹區的公車，在學城路一段周邊站點下車後步行到私立義大國際高中。,學校設有住宿制度，六至十二年級學生可申請住宿；宿舍生活由學校住宿團隊管理。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E7%BE%A9%E5%A4%A7%E5%9C%8B%E9%9A%9B%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E6%A8%B9%E5%8D%80%E5%AD%B8%E5%9F%8E%E8%B7%AF%E4%B8%80%E6%AE%B56%E8%99%9F,https://www.iis.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.iis.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.iis.kh.edu.tw/tw/admissions/admissions-faqs,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E7%BE%A9%E5%A4%A7%E5%9C%8B%E9%9A%9B%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E6%A8%B9%E5%8D%80%E5%AD%B8%E5%9F%8E%E8%B7%AF%E4%B8%80%E6%AE%B56%E8%99%9F | https://www.iis.kh.edu.tw/,https://www.iis.kh.edu.tw/tw/school-life/boarding-life,https://www.iis.kh.edu.tw/,https://www.iis.kh.edu.tw/,2026-09-07
,121405,私立中山工商,私立,高雄區學校名錄,綜高,男女校,高雄市,大寮區,高雄市大寮區會社里正氣路79號,https://nsr.csic.khc.edu.tw/index.aspx,(07)7815311,普通科(日)；汽車科(日)；資訊科(日)；電子科(日)；電機科(日)；機電科(日)；商業經營科(日)；資料處理科(日)；觀光事業科(日)；餐飲管理科(日)；多媒體設計科(日)；應用英語科(日)；應用日語科(日)；幼兒保育科(日)；美容科(日)；汽車美容服務科(日)；餐飲服務科(日)；園藝技術科(日)；烘焙食品科(日)；汽車修護科(日)；電機修護科(日)；餐飲技術科(日)；餐飲技術科(夜)；多媒體技術科(日)；美髮技術科(日)；美顏技術科(日),,,請以各校當年度公告為準,私立中山工商的一般高中職學生住宿目前沒有固定公開申請資訊。,私立中山工商兼具普通高中學術課程與汽車科、資訊科、電子科、電機科、機電科、商業經營科等專業方向，課程包含語文數理、探究學習、多元選修及技術專業課程，提供學術與職涯兩種延伸路徑。,私立中山工商的汽車科、資訊科、電子科、電機科、機電科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,私立中山工商目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由捷運大寮站轉乘大寮區市區公車至會社里正氣路周邊站點，步行到私立中山工商。,私立中山工商的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%B7%A5%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E5%AF%AE%E5%8D%80%E6%9C%83%E7%A4%BE%E9%87%8C%E6%AD%A3%E6%B0%A3%E8%B7%AF79%E8%99%9F,https://nsr.csic.khc.edu.tw/index.aspx | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://nsr.csic.khc.edu.tw/index.aspx | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://nsr.csic.khc.edu.tw/index.aspx,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%B7%A5%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E5%AF%AE%E5%8D%80%E6%9C%83%E7%A4%BE%E9%87%8C%E6%AD%A3%E6%B0%A3%E8%B7%AF79%E8%99%9F | https://ibus.tbkc.gov.tw/,https://nsr.csic.khc.edu.tw/index.aspx,https://nsr.csic.khc.edu.tw/index.aspx,https://nsr.csic.khc.edu.tw/index.aspx,2026-09-07
,121410,私立旗美商工,私立,高雄區學校名錄,高職,男女校,高雄市,美濃區,高雄市美濃區中興路二段275號,https://www.cm.cmvsedu.tw/,(07)6812152,照顧服務科(夜),,,請以各校當年度公告為準,私立旗美商工的一般高中職學生住宿目前沒有固定公開申請資訊。,私立旗美商工以照顧服務科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,私立旗美商工的照顧服務科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,私立旗美商工目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由旗山轉運站轉乘美濃方向公車，在中興路二段周邊站點下車後步行到私立旗美商工。,私立旗美商工的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E6%97%97%E7%BE%8E%E5%95%86%E5%B7%A5%20%E9%AB%98%E9%9B%84%E5%B8%82%E7%BE%8E%E6%BF%83%E5%8D%80%E4%B8%AD%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B5275%E8%99%9F,https://www.cm.cmvsedu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.cm.cmvsedu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.cm.cmvsedu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E6%97%97%E7%BE%8E%E5%95%86%E5%B7%A5%20%E9%AB%98%E9%9B%84%E5%B8%82%E7%BE%8E%E6%BF%83%E5%8D%80%E4%B8%AD%E8%88%88%E8%B7%AF%E4%BA%8C%E6%AE%B5275%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.cm.cmvsedu.tw/,https://www.cm.cmvsedu.tw/,https://www.cm.cmvsedu.tw/,2026-09-07
,121413,私立高英工商,私立,高雄區學校名錄,高職,男女校,高雄市,大寮區,高雄市大寮區鳳林三路19巷44號,https://kyicvs-new.kyicvs.khc.edu.tw/,(07)7832991,汽車科(日)；汽車科(夜)；資訊科(日)；電機科(日)；廣告設計科(日)；餐飲管理科(日)；餐飲管理科(夜)；美容科(日),,,請以各校當年度公告為準,私立高英工商的一般高中職學生住宿目前沒有固定公開申請資訊。,私立高英工商以汽車科、資訊科、電機科、廣告設計科、餐飲管理科、美容科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,私立高英工商的汽車科、資訊科、電機科、廣告設計科、餐飲管理科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,私立高英工商目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由捷運大寮站轉乘大寮區市區公車至鳳林三路周邊站點，步行到私立高英工商。,私立高英工商的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E9%AB%98%E8%8B%B1%E5%B7%A5%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E5%AF%AE%E5%8D%80%E9%B3%B3%E6%9E%97%E4%B8%89%E8%B7%AF19%E5%B7%B744%E8%99%9F,https://kyicvs-new.kyicvs.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://kyicvs-new.kyicvs.khc.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://kyicvs-new.kyicvs.khc.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E9%AB%98%E8%8B%B1%E5%B7%A5%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%A4%A7%E5%AF%AE%E5%8D%80%E9%B3%B3%E6%9E%97%E4%B8%89%E8%B7%AF19%E5%B7%B744%E8%99%9F | https://ibus.tbkc.gov.tw/,https://kyicvs-new.kyicvs.khc.edu.tw/,https://kyicvs-new.kyicvs.khc.edu.tw/,https://kyicvs-new.kyicvs.khc.edu.tw/,2026-09-07
,121415,私立華德工家,私立,高雄區學校名錄,高職,男女校,高雄市,茄萣區,高雄市茄萣區濱海路四段66號,https://www.hdvs.kh.edu.tw/,(07)6921212,汽車科(日)；資訊科(日)；飛機修護科(日)；餐飲管理科(日)；烘焙科(日)；餐飲技術科(日),,,請以各校當年度公告為準,私立華德工家的一般高中職學生住宿目前沒有固定公開申請資訊。,私立華德工家以汽車科、資訊科、飛機修護科、餐飲管理科、烘焙科、餐飲技術科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,私立華德工家的汽車科、資訊科、飛機修護科、餐飲管理科、烘焙科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,有交通車。校方招生資訊列明交通車行駛台南市及高雄市，供學生通學使用。,可由臺鐵岡山站轉乘往茄萣方向的紅71等公車至學校周邊；校方交通資訊亦列出台南、高雄方向通學方式。,私立華德工家的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E8%8F%AF%E5%BE%B7%E5%B7%A5%E5%AE%B6%20%E9%AB%98%E9%9B%84%E5%B8%82%E8%8C%84%E8%90%A3%E5%8D%80%E6%BF%B1%E6%B5%B7%E8%B7%AF%E5%9B%9B%E6%AE%B566%E8%99%9F,https://www.hdvs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hdvs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hdvs.kh.edu.tw/?.p=HrpY,https://www.hdvs.kh.edu.tw/?.p=HrpY,https://www.hdvs.kh.edu.tw/,https://www.hdvs.kh.edu.tw/,https://www.hdvs.kh.edu.tw/,2026-09-07
,121417,私立高苑工商,私立,高雄區學校名錄,高職,男女校,高雄市,橋頭區,高雄市橋頭區東林里芋寮路1號,https://www.kyvs.kh.edu.tw/,(07)6111101,汽車科(日)；資訊科(日)；資訊科(夜)；電機科(日)；餐飲管理科(日)；餐飲管理科(夜)；烘焙科(日)；綜合職能科(日)；餐飲技術科(日)；美髮技術科(日),,,請以各校當年度公告為準,私立高苑工商的一般高中職學生住宿目前沒有固定公開申請資訊。,私立高苑工商以汽車科、資訊科、電機科、餐飲管理科、烘焙科、綜合職能科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,私立高苑工商的餐飲、汽車等科別包含實作與專題課程；建教班學生另依班別進入合作事業單位接受職場實務訓練。,有校車。校方設有校車路線表，列出年度搭乘路線及相關資訊。,可由臺鐵橋頭站或捷運橋頭火車站轉乘橋頭、岡山方向公車，在東林里芋寮路周邊下車後步行到私立高苑工商。,私立高苑工商的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E9%AB%98%E8%8B%91%E5%B7%A5%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A9%8B%E9%A0%AD%E5%8D%80%E6%9D%B1%E6%9E%97%E9%87%8C%E8%8A%8B%E5%AF%AE%E8%B7%AF1%E8%99%9F,https://www.kyvs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.kyvs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.kyvs.kh.edu.tw/home?cid=14279,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E9%AB%98%E8%8B%91%E5%B7%A5%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A9%8B%E9%A0%AD%E5%8D%80%E6%9D%B1%E6%9E%97%E9%87%8C%E8%8A%8B%E5%AF%AE%E8%B7%AF1%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.kyvs.kh.edu.tw/,https://www.kyvs.kh.edu.tw/,https://www.kyvs.kh.edu.tw/,2026-09-07
,124302,高雄市立文山高中,公立,高雄區學校名錄,高中,男女校,高雄市,鳥松區,高雄市鳥松區大埤路31號,https://www.wsm.kh.edu.tw/,(07)7777272,普通科(日)；體育班(日),,,請以各校當年度公告為準,高雄市立文山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立文山高中以普通型高中核心課程，並透過校訂課程、多元選修及自主學習延伸個人興趣為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有體育班等班別，相關課程依班別深化。,高雄市立文山高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,高雄市立文山高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由鳳山或高雄市區轉乘往澄清湖、鳥松方向公車，在大埤路周邊站點下車後步行到高雄市立文山高中。,高雄市立文山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E6%96%87%E5%B1%B1%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%A5%E6%9D%BE%E5%8D%80%E5%A4%A7%E5%9F%A4%E8%B7%AF31%E8%99%9F,https://www.wsm.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.wsm.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.wsm.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E6%96%87%E5%B1%B1%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%A5%E6%9D%BE%E5%8D%80%E5%A4%A7%E5%9F%A4%E8%B7%AF31%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.wsm.kh.edu.tw/,https://www.wsm.kh.edu.tw/,https://www.wsm.kh.edu.tw/,2026-09-07
,124311,高雄市立林園高中,公立,高雄區學校名錄,高中,男女校,高雄市,林園區,高雄市林園區林園北路481號,https://www.ly.kh.edu.tw/,(07)6412059,普通科(日)；體育班(日),,,請以各校當年度公告為準,高雄市立林園高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立林園高中以語文、數理、自然與社會領域課程，搭配校訂必修、多元選修與自主學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有體育班等班別，相關課程依班別深化。,高雄市立林園高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,高雄市立林園高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由捷運小港站轉乘林園方向公車，在林園北路周邊站點下車後步行到高雄市立林園高中。,高雄市立林園高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E6%9E%97%E5%9C%92%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%9E%97%E5%9C%92%E5%8D%80%E6%9E%97%E5%9C%92%E5%8C%97%E8%B7%AF481%E8%99%9F,https://www.ly.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.ly.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.ly.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E6%9E%97%E5%9C%92%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%9E%97%E5%9C%92%E5%8D%80%E6%9E%97%E5%9C%92%E5%8C%97%E8%B7%AF481%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.ly.kh.edu.tw/,https://www.ly.kh.edu.tw/,https://www.ly.kh.edu.tw/,2026-09-07
,124313,高雄市立仁武高中,公立,高雄區學校名錄,高中,男女校,高雄市,仁武區,高雄市仁武區仁林路20號,https://www.rwm.kh.edu.tw/,(07)3721640,普通科(日)；體育班(日),,,請以各校當年度公告為準,高雄市立仁武高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立仁武高中以普通高中學科基礎、跨領域選修與探究學習，並保留自主學習與生涯探索空間為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有體育班等班別，相關課程依班別深化。,高雄市立仁武高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,高雄市立仁武高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由高鐵／捷運左營站轉乘紅60至仁武高中，也可搭橘16、224、8008等公車至學校周邊站點。,高雄市立仁武高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E4%BB%81%E6%AD%A6%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%BB%81%E6%AD%A6%E5%8D%80%E4%BB%81%E6%9E%97%E8%B7%AF20%E8%99%9F,https://www.rwm.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.rwm.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.rwm.kh.edu.tw/,https://www.rwm.kh.edu.tw/about/%E5%AD%B8%E6%A0%A1%E4%BD%8D%E7%BD%AE-%E4%BA%A4%E9%80%9A%E8%B7%AF%E7%B7%9A/,https://www.rwm.kh.edu.tw/,https://www.rwm.kh.edu.tw/,https://www.rwm.kh.edu.tw/,2026-09-07
,124322,高雄市立路竹高中,公立,高雄區學校名錄,高中,男女校,高雄市,路竹區,高雄市路竹區中華路292號,https://www.lchs.kh.edu.tw/,(07)6963008,普通科(日)；體育班(日),,,請以各校當年度公告為準,高雄市立路竹高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立路竹高中以普通型高中核心課程，並透過校訂課程、多元選修及自主學習延伸個人興趣為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有體育班等班別，相關課程依班別深化。,高雄市立路竹高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,有學生專車。115學年度校方公布學生專車路線與搭乘資訊，供學生上下學使用。,臺鐵路竹站距校約1.5公里，可再轉乘公車；紅67B可到路竹高中中華路側，紅71B2可到國昌路側。,高雄市立路竹高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E8%B7%AF%E7%AB%B9%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E8%B7%AF%E7%AB%B9%E5%8D%80%E4%B8%AD%E8%8F%AF%E8%B7%AF292%E8%99%9F,https://www.lchs.kh.edu.tw/view/index.php?MainMenuId=87899&MainType=0&SubMenuId=87901&SubType=101&WebID=312,https://www.lchs.kh.edu.tw/view/index.php?MainMenuId=87899&MainType=0&SubMenuId=87901&SubType=101&WebID=312,https://www.lchs.kh.edu.tw/view/index.php?MainMenuId=55780&MainType=101&SubMenuId=0&SubType=0&WebID=312,https://www.lchs.kh.edu.tw/view/index.php?MainMenuId=45045&MainType=0&SubMenuId=45048&SubType=103&WebID=312,https://www.lchs.kh.edu.tw/,https://www.lchs.kh.edu.tw/,https://www.lchs.kh.edu.tw/,2026-09-07
,124333,高雄市立六龜高中,公立,高雄區學校名錄,高中,男女校,高雄市,六龜區,高雄市六龜區光復路212號,https://www.lgm.kh.edu.tw/,(07)6891023,普通科(日),,,請以各校當年度公告為準,學校設有學生宿舍。115學年度配置學生宿舍生活輔導人員，供住宿學生接受生活管理。,高雄市立六龜高中以普通高中學科基礎、跨領域選修與探究學習，並保留自主學習與生涯探索空間為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容。,高雄市立六龜高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,高雄市立六龜高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由旗山轉運站轉乘六龜方向公車，在六龜市區下車後步行前往高雄市立六龜高中。,學校設有學生宿舍。115學年度配置學生宿舍生活輔導人員，供住宿學生接受生活管理。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E5%85%AD%E9%BE%9C%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%85%AD%E9%BE%9C%E5%8D%80%E5%85%89%E5%BE%A9%E8%B7%AF212%E8%99%9F,https://www.lgm.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.lgm.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.lgm.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E5%85%AD%E9%BE%9C%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%85%AD%E9%BE%9C%E5%8D%80%E5%85%89%E5%BE%A9%E8%B7%AF212%E8%99%9F | https://www.lgm.kh.edu.tw/,https://www.lgm.kh.edu.tw/,https://www.lgm.kh.edu.tw/,https://www.lgm.kh.edu.tw/,2026-09-07
