排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,分數來源備註,資優班/特色班,排序分數,課程方向,實習／專題,交通方式,通勤資訊,住宿資訊,生活資料來源,交通資料來源,住宿資料來源,Google地圖,地址資料來源,課程資料來源,實習專題資料來源
,070403,國立二林高級工商職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,二林鎮,526021 彰化縣二林鎮豐田里斗苑路四段500號,https://www.elvs.chc.edu.tw/,,機械科:51(不限)；電子科:25(不限)；電機科:48(不限)；建築科:25(不限)；室內空間設計科:25(不限)；商業經營科:54(不限)；資料處理科:24(不限),252,252,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,機械、電子、電機、建築、室內空間設計、商業經營與資料處理等工商技術課程。,各科以專業實習、工場／商業實務與專題製作為主；網站未標示全校統一專題題目。,日間部官網115學年度學生專車資料列有和美、伸港、鹿港、福興、員林、埔心、溪湖、田中、溪州等多條路線。,日間部跨區通勤以校方115學年度學生專車路線表為固定資訊；官網未標示單一固定公車到校班次。,日間部校方新生資料明載備有學生宿舍；床位與申請依當學年度公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=526021%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%9E%97%E9%8E%AE%E8%B1%90%E7%94%B0%E9%87%8C%E6%96%97%E8%8B%91%E8%B7%AF%E5%9B%9B%E6%AE%B5500%E8%99%9F；學校官網：https://www.elvs.chc.edu.tw/,https://www.elvs.chc.edu.tw/ischool/publish_page/91/?cid=1823,https://www.elvs.chc.edu.tw/ischool/wr/file/1/2759/d0df45ae3a971f662d0c6d4f21f5addb.pdf,https://www.google.com/maps/search/?api=1&query=526021%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%9E%97%E9%8E%AE%E8%B1%90%E7%94%B0%E9%87%8C%E6%96%97%E8%8B%91%E8%B7%AF%E5%9B%9B%E6%AE%B5500%E8%99%9F,https://www.elvs.chc.edu.tw/home,https://www.elvs.chc.edu.tw/home,https://www.elvs.chc.edu.tw/home
,070405,國立秀水高級工業職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,秀水鄉,504 彰化縣秀水鄉中山路364號,https://www.ssivs.chc.edu.tw/,,機械科:60(不限)；電機科:57(不限)；建築科:29(不限)；製圖科:31(不限)；室內空間設計科:28(不限),205,205,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,機械、電機、建築、製圖、室內空間設計等工業設計與工程技術課程。,電機科官網列有專題製作、電工機械、電子電路、工業配電、機電整合、單晶片控制、PLC等實習內容；其他科依各科專業實習規劃。,官網有學生專車相關公告；首頁未標示固定公車到校路線。,學生專車站點與時間依校方公告；網站未標示其他固定通勤班次或步行時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=504%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E7%A7%80%E6%B0%B4%E9%84%89%E4%B8%AD%E5%B1%B1%E8%B7%AF364%E8%99%9F；學校官網：https://www.ssivs.chc.edu.tw/,https://www.ssivs.chc.edu.tw/,https://www.ssivs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=504%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E7%A7%80%E6%B0%B4%E9%84%89%E4%B8%AD%E5%B1%B1%E8%B7%AF364%E8%99%9F,https://www.ssivs.chc.edu.tw/,https://www.ssivs.chc.edu.tw/,https://www.ssivs.chc.edu.tw/ischool/widget/main_menu/show.php?cid=2300
,070406,國立彰化高級商業職業學校,公立,彰化區免試入學日間部,綜高,不限,彰化縣,彰化市,500 彰化縣彰化市南郭路一段326號,https://www.chsc.chc.edu.tw/,,綜合高中:127(不限)；商業經營科:112(不限)；國際貿易科:107(不限)；資料處理科:59(不限)；廣告設計科:50(不限)；應用英語科:58(不限),513,513,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,綜合高中及商業經營、國際貿易、資料處理、廣告設計、應用英語等商管、資訊、設計與語文方向。,商業類課程可見會計實習、行銷實務、AI實務、國貿、電子商務與專題實作等內容。,官網交通資訊列明：搭高鐵、臺鐵或客運者先到彰化火車站，再搭彰化客運「彰化－保警」路線到校。,固定大眾運輸轉乘節點為彰化火車站，再接「彰化－保警」路線。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%8D%97%E9%83%AD%E8%B7%AF%E4%B8%80%E6%AE%B5326%E8%99%9F；學校官網：https://www.chsc.chc.edu.tw/,https://www.chsc.chc.edu.tw/home?cid=802,https://www.chsc.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%8D%97%E9%83%AD%E8%B7%AF%E4%B8%80%E6%AE%B5326%E8%99%9F,https://www.chsc.chc.edu.tw/home?cid=802,https://www.chsc.chc.edu.tw/,https://www.chsc.chc.edu.tw/ischool/publish_page/25/?cid=662
,070408,國立員林高級農工職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,員林市,510 彰化縣員林市員水路二段313號,https://www.ylvs.chc.edu.tw/,,農場經營科(產特):29(不限)；園藝科(產特):59(不限)；食品加工科:55(不限)；畜產保健科(產特):24(不限)；機械科:57(不限)；建築科:55(不限)；生物產業機電科:30(不限)；電子商務科:27(不限),336,336,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,農場經營、園藝、食品加工、畜產保健、機械、建築、生物產業機電、電子商務等農業與工業／商業跨域技術課程。,各科以農業實作、食品加工、機械／建築／機電實習與專題製作為主；網站未標示全校統一專題題目。,官網新生資訊設有交通車業務；首頁未標示固定公車到校路線。,交通車站點與時間由校方當學年度公告管理；網站未標示其他固定通勤班次。,官網新生資訊設有住宿申請業務，校方提供學生住宿；實際床位依當學年度公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=510%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E5%93%A1%E6%B0%B4%E8%B7%AF%E4%BA%8C%E6%AE%B5313%E8%99%9F；學校官網：https://www.ylvs.chc.edu.tw/,https://www.ylvs.chc.edu.tw/,https://www.ylvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=510%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E5%93%A1%E6%B0%B4%E8%B7%AF%E4%BA%8C%E6%AE%B5313%E8%99%9F,https://www.ylvs.chc.edu.tw/,https://www.ylvs.chc.edu.tw/,https://www.ylvs.chc.edu.tw/
,070409,國立員林崇實高級工業職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,員林市,510002 彰化縣員林市育英路103號,https://www.csvs.chc.edu.tw/,,資訊科:27(不限)；電機科:54(不限)；化工科:63(不限)；電機空調科:59(不限)；室內空間設計科:21(不限)；家具設計科:32(不限),256,256,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,電機、資訊、電機空調、室內空間設計、家具設計、化工等工業與設計技術課程。,各科以技能實作、專業實習與專題為主；官網可見電機相關原廠認證與技能競賽成果，網站未標示全校統一專題題目。,官網交通資訊提供「本校位址」「火車站」「林厝交流道」與國道路線地圖；首頁未標示固定公車班次。,官網以地圖方式提供員林火車站與校址位置；網站未標示固定接駁班次或步行時間。,校方有學生宿舍與住宿生相關公告；實際申請與床位依當學年度公告。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=510002%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E8%82%B2%E8%8B%B1%E8%B7%AF103%E8%99%9F；學校官網：https://www.csvs.chc.edu.tw/,https://www.csvs.chc.edu.tw/,https://www.csvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=510002%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E8%82%B2%E8%8B%B1%E8%B7%AF103%E8%99%9F,https://www.csvs.chc.edu.tw/,https://www.csvs.chc.edu.tw/,https://www.csvs.chc.edu.tw/
,070410,國立員林高級家事商業職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,員林市,51045 彰化縣員林市中正路56號,https://www.ylhcvs.chc.edu.tw/,,商業經營科:50(不限)；國際貿易科:79(不限)；應用英語科:52(不限)；家政科:23(不限)；服裝科:29(不限)；幼兒保育科:24(不限),257,257,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,家政、幼兒保育、服裝、商業經營、國際貿易、應用英語等家政、商管與語文技術課程。,各科以家政／幼保／服裝／商業專業實習與實作為主；網站未標示全校統一專題題目。,官網「地理位置」頁只列國道一號、國道三號與台一線的自駕到校動線，未標示固定大眾運輸班次。,網站未標示固定學生專車、接駁班次或步行時間。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=51045%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%B7%AF56%E8%99%9F；學校官網：https://www.ylhcvs.chc.edu.tw/,https://www.ylhcvs.chc.edu.tw/home?cid=1714,https://www.ylhcvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=51045%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%B7%AF56%E8%99%9F,https://www.ylhcvs.chc.edu.tw/home,https://www.ylhcvs.chc.edu.tw/home,https://www.ylhcvs.chc.edu.tw/home
,070415,國立北斗高級家事商業職業學校,公立,彰化區免試入學日間部,高職,不限,彰化縣,北斗鎮,521 彰化縣北斗鎮大道里學府路50號,https://www.pthc.chc.edu.tw/,,商業經營科:86(不限)；國際貿易科:29(不限)；資料處理科:29(不限)；廣告設計科:77(不限)；餐飲管理科:22(不限)；美容科:50(不限),293,293,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,商業經營、國際貿易、資料處理、廣告設計、餐飲管理、美容等商管、資訊、設計與餐旅美容技術課程。,各科以商業／資訊／設計／餐飲／美容專業實習與專題製作為主；網站未標示全校統一專題題目。,官網學生園地設「學生通勤資訊」與「學生專車」，115學年度專車頁公布路線、站點與時刻；官網未標示固定公車到校路線。,學生專車通勤依校方115學年度路線與時刻表；網站未標示其他固定通勤班次。,學校官網未標示115學年度校內學生宿舍申請資訊。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=521%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%8C%97%E6%96%97%E9%8E%AE%E5%A4%A7%E9%81%93%E9%87%8C%E5%AD%B8%E5%BA%9C%E8%B7%AF50%E8%99%9F；學校官網：https://www.pthc.chc.edu.tw/,https://www.pthc.chc.edu.tw/ischool/widget/main_menu/show.php?cid=202,https://www.pthc.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=521%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%8C%97%E6%96%97%E9%8E%AE%E5%A4%A7%E9%81%93%E9%87%8C%E5%AD%B8%E5%BA%9C%E8%B7%AF50%E8%99%9F,https://www.pthc.chc.edu.tw/,https://www.pthc.chc.edu.tw/,https://www.pthc.chc.edu.tw/
,070B16,國立鹿港高級中學進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,鹿港鎮,505 彰化縣鹿港鎮東石里中山路661號,https://www.lksh.chc.edu.tw/,,商業經營科(夜間班):28(不限),28,28,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,普通科與汽車、商業經營、國際貿易、水產養殖等技術型科別並行，兼具普通高中與技職方向。,汽車科官網列有專題實作與專業維修實習；商業類可見經濟專題研究；進修部課程亦有專題製作。,官網設「地理交通」與學生專車資訊入口；官網首頁未標示固定公車班次。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=505%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E6%9D%B1%E7%9F%B3%E9%87%8C%E4%B8%AD%E5%B1%B1%E8%B7%AF661%E8%99%9F；學校官網：https://www.lksh.chc.edu.tw/,https://www.lksh.chc.edu.tw/,https://www.lksh.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=505%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E6%9D%B1%E7%9F%B3%E9%87%8C%E4%B8%AD%E5%B1%B1%E8%B7%AF661%E8%99%9F,https://www.lksh.chc.edu.tw/p/412-1005-1470.php?Lang=zh-tw,https://www.lksh.chc.edu.tw/,https://www.lksh.chc.edu.tw/p/412-1005-453.php
,070C01,國立彰化師範大學附屬高級工業職業學校進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,彰化市,500 彰化縣彰化市工校街1號,https://www.sivs.chc.edu.tw/,,機械科(夜間班):38(不限)；汽車科(夜間班):38(不限)；資訊科(夜間班):38(不限)；電機科(夜間班):38(不限)；製圖科(夜間班):38(不限),190,190,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,機械、鑄造、汽車、資訊、電子、控制、電機、建築、機電、製圖、機械木模等工業技術課程。,各科以工場實習、機電控制、電子電路、製造／設計與專題實作為核心；控制科可見PLC、智慧家庭、機器人等專題導向實作。,官方交通資料列明：臺鐵彰化站可搭彰化客運／臺中客運101路，在「和調里」或「原民館」下車後步行約10分鐘到校。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%B7%A5%E6%A0%A1%E8%A1%971%E8%99%9F；學校官網：https://www.sivs.chc.edu.tw/,https://www.sivs.chc.edu.tw/ezfiles/0/1000/attach/94/pta_27909_4573997_47327.pdf,https://www.sivs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%B7%A5%E6%A0%A1%E8%A1%971%E8%99%9F,https://www.sivs.chc.edu.tw/,https://www.sivs.chc.edu.tw/,https://www.sivs.chc.edu.tw/ezfiles/0/1000/img/17/467795997.pdf
,070C02,國立永靖高級工業職業學校進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,永靖鄉,51247 彰化縣永靖鄉永坡路101號,https://www.yjvs.chc.edu.tw/,,資訊科(夜間班):38(不限),38,38,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,機械、資訊、電機、建築、化工、製圖、室內空間設計等工業技術課程。,以各科專業實習與技能實作為主；網站未標示全校統一專題題目。,學校官網首頁未標示具體大眾運輸路線或固定學生專車班次。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=51247%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%B0%B8%E9%9D%96%E9%84%89%E6%B0%B8%E5%9D%A1%E8%B7%AF101%E8%99%9F；學校官網：https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=51247%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E6%B0%B8%E9%9D%96%E9%84%89%E6%B0%B8%E5%9D%A1%E8%B7%AF101%E8%99%9F,https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/,https://www.yjvs.chc.edu.tw/
,070C03,國立二林高級工商職業學校進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,二林鎮,526021 彰化縣二林鎮豐田里斗苑路四段500號,https://www.elvs.chc.edu.tw/,,商業經營科(夜間班):23(不限)；資料處理科(夜間班):23(不限),46,46,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,機械、電子、電機、建築、室內空間設計、商業經營與資料處理等工商技術課程。,各科以專業實習、工場／商業實務與專題製作為主；網站未標示全校統一專題題目。,進修部官方簡章明載無學生專車；進修部夜間上、放學交通須自行安排。,進修部不提供學生專車；官網未標示夜間固定公車班次。,進修部官方簡章明載無宿舍。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=526021%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%9E%97%E9%8E%AE%E8%B1%90%E7%94%B0%E9%87%8C%E6%96%97%E8%8B%91%E8%B7%AF%E5%9B%9B%E6%AE%B5500%E8%99%9F；學校官網：https://www.elvs.chc.edu.tw/,https://www.elvs.chc.edu.tw/,https://www.elvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=526021%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E4%BA%8C%E6%9E%97%E9%8E%AE%E8%B1%90%E7%94%B0%E9%87%8C%E6%96%97%E8%8B%91%E8%B7%AF%E5%9B%9B%E6%AE%B5500%E8%99%9F,https://www.elvs.chc.edu.tw/home,https://www.elvs.chc.edu.tw/home,https://www.elvs.chc.edu.tw/home
,070C05,國立秀水高級工業職業學校進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,秀水鄉,504 彰化縣秀水鄉中山路364號,https://www.ssivs.chc.edu.tw/,,機械科(夜間班):23(不限)；電機科(夜間班):23(不限)；製圖科(夜間班):23(不限)；室內空間設計科(夜間班):23(不限),92,92,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,機械、電機、建築、製圖、室內空間設計等工業設計與工程技術課程。,電機科官網列有專題製作、電工機械、電子電路、工業配電、機電整合、單晶片控制、PLC等實習內容；其他科依各科專業實習規劃。,官網有學生專車相關公告；首頁未標示固定公車到校路線。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=504%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E7%A7%80%E6%B0%B4%E9%84%89%E4%B8%AD%E5%B1%B1%E8%B7%AF364%E8%99%9F；學校官網：https://www.ssivs.chc.edu.tw/,https://www.ssivs.chc.edu.tw/,https://www.ssivs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=504%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E7%A7%80%E6%B0%B4%E9%84%89%E4%B8%AD%E5%B1%B1%E8%B7%AF364%E8%99%9F,https://www.ssivs.chc.edu.tw/,https://www.ssivs.chc.edu.tw/,https://www.ssivs.chc.edu.tw/ischool/widget/main_menu/show.php?cid=2300
,070C06,國立彰化高級商業職業學校進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,彰化市,500 彰化縣彰化市南郭路一段326號,https://www.chsc.chc.edu.tw/,,商業經營科(夜間班):35(不限)；資料處理科(夜間班):31(不限),66,66,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,綜合高中及商業經營、國際貿易、資料處理、廣告設計、應用英語等商管、資訊、設計與語文方向。,商業類課程可見會計實習、行銷實務、AI實務、國貿、電子商務與專題實作等內容。,官網交通資訊列明：搭高鐵、臺鐵或客運者先到彰化火車站，再搭彰化客運「彰化－保警」路線到校。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%8D%97%E9%83%AD%E8%B7%AF%E4%B8%80%E6%AE%B5326%E8%99%9F；學校官網：https://www.chsc.chc.edu.tw/,https://www.chsc.chc.edu.tw/home?cid=802,https://www.chsc.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=500%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%BD%B0%E5%8C%96%E5%B8%82%E5%8D%97%E9%83%AD%E8%B7%AF%E4%B8%80%E6%AE%B5326%E8%99%9F,https://www.chsc.chc.edu.tw/home?cid=802,https://www.chsc.chc.edu.tw/,https://www.chsc.chc.edu.tw/ischool/publish_page/25/?cid=662
,070C08,國立員林高級農工職業學校進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,員林市,510 彰化縣員林市員水路二段313號,https://www.ylvs.chc.edu.tw/,,園藝科(產特)(夜間班):35(不限),35,35,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,農場經營、園藝、食品加工、畜產保健、機械、建築、生物產業機電、電子商務等農業與工業／商業跨域技術課程。,各科以農業實作、食品加工、機械／建築／機電實習與專題製作為主；網站未標示全校統一專題題目。,官網新生資訊設有交通車業務；首頁未標示固定公車到校路線。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=510%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E5%93%A1%E6%B0%B4%E8%B7%AF%E4%BA%8C%E6%AE%B5313%E8%99%9F；學校官網：https://www.ylvs.chc.edu.tw/,https://www.ylvs.chc.edu.tw/,https://www.ylvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=510%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E5%93%A1%E6%B0%B4%E8%B7%AF%E4%BA%8C%E6%AE%B5313%E8%99%9F,https://www.ylvs.chc.edu.tw/,https://www.ylvs.chc.edu.tw/,https://www.ylvs.chc.edu.tw/
,070C09,國立員林崇實高級工業職業學校進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,員林市,510002 彰化縣員林市育英路103號,https://www.csvs.chc.edu.tw/,,電機科(夜間班):35(不限)；室內空間設計科(夜間班):36(不限),71,71,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,電機、資訊、電機空調、室內空間設計、家具設計、化工等工業與設計技術課程。,各科以技能實作、專業實習與專題為主；官網可見電機相關原廠認證與技能競賽成果，網站未標示全校統一專題題目。,官網交通資訊提供「本校位址」「火車站」「林厝交流道」與國道路線地圖；首頁未標示固定公車班次。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=510002%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E8%82%B2%E8%8B%B1%E8%B7%AF103%E8%99%9F；學校官網：https://www.csvs.chc.edu.tw/,https://www.csvs.chc.edu.tw/,https://www.csvs.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=510002%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%93%A1%E6%9E%97%E5%B8%82%E8%82%B2%E8%8B%B1%E8%B7%AF103%E8%99%9F,https://www.csvs.chc.edu.tw/,https://www.csvs.chc.edu.tw/,https://www.csvs.chc.edu.tw/
,070C15,國立北斗高級家事商業職業學校進修部,公立,彰化區免試入學進修部,進修部,不限,彰化縣,北斗鎮,521 彰化縣北斗鎮大道里學府路50號,https://www.pthc.chc.edu.tw/,,照顧服務科(產特)(夜間班):10(不限),10,10,115學年度彰化區免試入學核定招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,,商業經營、國際貿易、資料處理、廣告設計、餐飲管理、美容等商管、資訊、設計與餐旅美容技術課程。,各科以商業／資訊／設計／餐飲／美容專業實習與專題製作為主；網站未標示全校統一專題題目。,官網學生園地設「學生通勤資訊」與「學生專車」，115學年度專車頁公布路線、站點與時刻；官網未標示固定公車到校路線。 進修部官網未標示日間部學生專車是否適用夜間班。,進修部官網未標示夜間專用交通班次；不可將日間部學生專車視為進修部可搭乘。,進修部官網未標示進修部學生住宿申請資格。,Google Maps（校園周邊餐飲、便利商店、醫療、車站／站牌）：https://www.google.com/maps/search/?api=1&query=521%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%8C%97%E6%96%97%E9%8E%AE%E5%A4%A7%E9%81%93%E9%87%8C%E5%AD%B8%E5%BA%9C%E8%B7%AF50%E8%99%9F；學校官網：https://www.pthc.chc.edu.tw/,https://www.pthc.chc.edu.tw/ischool/widget/main_menu/show.php?cid=202,https://www.pthc.chc.edu.tw/,https://www.google.com/maps/search/?api=1&query=521%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E5%8C%97%E6%96%97%E9%8E%AE%E5%A4%A7%E9%81%93%E9%87%8C%E5%AD%B8%E5%BA%9C%E8%B7%AF50%E8%99%9F,https://www.pthc.chc.edu.tw/,https://www.pthc.chc.edu.tw/,https://www.pthc.chc.edu.tw/
